s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.3900095E+002, 1.0394200E+003,-5.0521529E+002,-2.7525560E+002,-2.5621817E+002, 1.7233339E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7681270E+000, 2.7481671E+000, 2.1739753E-002
 1.4000601E+002, 1.0071512E+003,-4.9098577E+002,-2.6164684E+002,-2.5188067E+002,-1.3957037E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1172833E+000, 2.4983422E+000, 2.1739753E-002
 1.4100224E+002, 9.7386471E+002,-4.8370641E+002,-2.3660137E+002,-2.5020167E+002, 6.9143049E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4733943E+000, 3.4244128E+000, 2.1739753E-002
 1.4200635E+002, 9.5255330E+002,-4.7664187E+002,-2.1840276E+002,-2.5543879E+002,-3.2957622E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4146336E+000, 1.7403009E+000, 2.1739753E-002
 1.4300540E+002, 1.0066842E+003,-4.9302669E+002,-2.5914547E+002,-2.5983326E+002,-2.7197086E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8615227E+000,-5.5931491E+000, 2.1739753E-002
 1.4400388E+002, 1.0496839E+003,-5.0497407E+002,-2.7738085E+002,-2.5463777E+002,-2.1252887E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2586321E+001, 1.2478711E+001, 2.1739753E-002
 1.4500642E+002, 1.0147044E+003,-5.0032855E+002,-2.5981726E+002,-2.5880417E+002, 9.5668907E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6139587E-001,-4.2360247E+000, 2.1739753E-002
 1.4600650E+002, 9.8537104E+002,-4.8558457E+002,-2.4603876E+002,-2.5379592E+002,-1.2834952E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7391425E-001,-1.7655173E-001, 2.1739753E-002
 1.4700835E+002, 1.0264388E+003,-4.9907346E+002,-2.7462457E+002,-2.5202251E+002, 5.8586511E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9643562E-001, 7.7682741E-001, 2.1739753E-002
 1.4800821E+002, 9.8101645E+002,-4.8563506E+002,-2.3849888E+002,-2.5679493E+002, 1.4442310E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2313780E-001, 1.0202343E-001, 2.1739753E-002
 1.4900504E+002, 9.8179111E+002,-4.8627642E+002,-2.3134466E+002,-2.5555354E+002,-1.8570112E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2393011E+000, 8.5979168E+000, 2.1739753E-002
 1.5000607E+002, 9.8987419E+002,-4.8539073E+002,-2.4842623E+002,-2.5848650E+002,-2.7101517E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.4419253E-001,-2.7002863E+000, 2.1739753E-002
 1.5100795E+002, 1.0028309E+003,-4.9430861E+002,-2.4285981E+002,-2.6147926E+002,-1.3960172E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7454920E+000, 4.0436497E+000, 2.1739753E-002
 1.5200017E+002, 1.0184407E+003,-4.9352001E+002,-2.6781861E+002,-2.5850587E+002, 5.0050921E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1991948E+000,-1.3537517E+000, 2.1739753E-002
 1.5300209E+002, 9.3100207E+002,-4.6853577E+002,-2.0912806E+002,-2.5307194E+002, 2.5882316E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8217650E-001, 2.9217537E-001, 2.1739753E-002
 1.5400699E+002, 1.0014950E+003,-4.9084542E+002,-2.4642582E+002,-2.5762961E+002,-5.3627376E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4107613E+000, 6.5405732E+000, 2.1739753E-002
 1.5500970E+002, 1.0299181E+003,-5.0331349E+002,-2.5993373E+002,-2.6447875E+002, 1.9561800E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3974772E+000, 2.3877363E+000, 2.1739753E-002
 1.5600531E+002, 9.9470715E+002,-4.9460659E+002,-2.4023338E+002,-2.5790064E+002, 7.2909971E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4004551E+000, 2.0394473E+000, 2.1739753E-002
 1.5700038E+002, 1.0841648E+003,-5.1554928E+002,-3.0951653E+002,-2.5105876E+002,-1.4197275E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5031432E+000, 7.8982057E+000, 2.1739753E-002
 1.5800151E+002, 9.0954758E+002,-4.7086668E+002,-1.8035872E+002,-2.5791876E+002, 3.6230898E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1345595E-002, 4.3965100E-001, 2.1739753E-002
 1.5900542E+002, 9.9748472E+002,-4.9146833E+002,-2.3756164E+002,-2.6488066E+002,-4.0584217E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3992318E+000, 3.5335118E+000, 2.1739753E-002
 1.6000279E+002, 9.2192131E+002,-4.7470106E+002,-1.8002007E+002,-2.6782281E+002,-2.5502886E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7405704E-001,-6.4813568E-001, 2.1739753E-002
 1.6100992E+002, 1.0685258E+003,-5.1828281E+002,-2.6748992E+002,-2.7250898E+002,-1.8345049E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7109580E+000, 1.0060685E+001, 2.1739753E-002
 1.6200682E+002, 1.0401521E+003,-5.1421714E+002,-2.5307451E+002,-2.7238685E+002,-6.3132855E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9278825E+000, 4.1045730E-001, 2.1739753E-002
 1.6300014E+002, 1.0625863E+003,-5.1731227E+002,-2.7312652E+002,-2.6729883E+002,-1.6455959E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0782964E+000, 4.6841192E+000, 2.1739753E-002
 1.6400064E+002, 9.5460776E+002,-4.8814277E+002,-2.0530301E+002,-2.6483455E+002,-8.4607361E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0488846E+000,-3.7571730E+000, 2.1739753E-002
 1.6500511E+002, 9.1659965E+002,-4.7049951E+002,-1.8728375E+002,-2.5901280E+002,-2.9317858E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6345814E-001,-4.8959318E-001, 2.1739753E-002
 1.6600157E+002, 1.0542779E+003,-5.1138148E+002,-2.7319952E+002,-2.6561848E+002,-1.1892003E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3900922E+000, 3.9594711E+000, 2.1739753E-002
 1.6700085E+002, 9.8511374E+002,-4.9537752E+002,-2.2519345E+002,-2.6129935E+002, 3.9566594E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8343442E+000, 3.2829786E+000, 2.1739753E-002
 1.6800287E+002, 1.0504845E+003,-5.1410688E+002,-2.6655422E+002,-2.6243228E+002,-5.9930776E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2402534E+000, 7.3311908E+000, 2.1739753E-002
 1.6900587E+002, 1.0371116E+003,-5.1482092E+002,-2.4802587E+002,-2.6792423E+002,-8.9114804E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6108944E+000, 6.2514301E+000, 2.1739753E-002
