s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 3.9501000E+002, 4.1465082E+002, 3.0783029E-002, 1.2446282E-002
 4.0001000E+002, 4.1472678E+002, 3.1031003E-002, 1.2305501E-002
 4.0501000E+002, 4.1479376E+002, 3.1417646E-002, 1.2163838E-002
 4.1001000E+002, 4.1495505E+002, 3.1603079E-002, 1.2020315E-002
 4.1501000E+002, 4.1502182E+002, 3.1915721E-002, 1.1876220E-002
 4.2001000E+002, 4.1519675E+002, 3.2034330E-002, 1.1730597E-002
 4.2501000E+002, 4.1537250E+002, 3.2297913E-002, 1.1584642E-002
 4.3001000E+002, 4.1554526E+002, 3.2347754E-002, 1.1437465E-002
 4.3501000E+002, 4.1594949E+002, 3.2568160E-002, 1.1290141E-002
 4.4001000E+002, 4.1617654E+002, 3.2521073E-002, 1.1142001E-002
 4.4501000E+002, 4.1700125E+002, 3.2639112E-002, 1.0994042E-002
 4.5001000E+002, 4.1754688E+002, 3.2410979E-002, 1.0846029E-002
 4.5501000E+002, 4.1923654E+002, 3.2249719E-002, 1.0699112E-002
 4.6001000E+002, 4.2101389E+002, 3.1563740E-002, 1.0553801E-002
 4.6501000E+002, 4.2493295E+002, 3.0702429E-002, 1.0412281E-002
 4.7001000E+002, 4.3100977E+002, 2.8672121E-002, 1.0276518E-002
 4.7501000E+002, 4.4188068E+002, 2.5716780E-002, 1.0152747E-002
 4.8001000E+002, 4.6630899E+002, 1.9442040E-002, 1.0047781E-002
 4.8501000E+002, 5.9991187E+002, 1.4313862E-003, 1.0000522E-002
 4.9001000E+002, 6.3448279E+002, 0.0000000E+000, 9.9999998E-003
 4.9501000E+002, 6.4349500E+002, 0.0000000E+000, 9.9999998E-003
 5.0001000E+002, 6.4894489E+002, 0.0000000E+000, 9.9999998E-003
 5.0501000E+002, 6.5222412E+002, 0.0000000E+000, 9.9999998E-003
 5.1001000E+002, 6.5412738E+002, 0.0000000E+000, 9.9999998E-003
 5.1501000E+002, 6.5520605E+002, 0.0000000E+000, 9.9999998E-003
 5.2001000E+002, 6.5580914E+002, 0.0000000E+000, 9.9999998E-003
 5.2501000E+002, 6.5614380E+002, 0.0000000E+000, 9.9999998E-003
