s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.1920000E+002, 0.0000000E+000, 1.6005825E-003,-4.0983322E-002,-3.3770604E-002,-3.8250190E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2041554E-004,-4.5565525E-001, 1.5750867E-004
 1.2000000E+002, 0.0000000E+000, 1.5836788E-003,-3.9786442E-002,-3.5930985E-002,-3.9172916E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1029982E-005,-4.6586291E-001, 1.5830415E-004
 1.2080000E+002, 0.0000000E+000, 1.5874199E-003,-3.7706188E-002,-3.8112503E-002,-3.9522194E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5321563E-004,-4.6945321E-001, 1.5906514E-004
 1.2160000E+002, 0.0000000E+000, 1.6003696E-003,-3.8022811E-002,-3.5323474E-002,-3.9001102E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9669468E-004,-4.6175694E-001, 1.5979225E-004
 1.2240000E+002, 0.0000000E+000, 1.6115748E-003,-3.9441569E-002,-2.9856946E-002,-3.3793510E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5625692E-003,-4.0562204E-001, 1.6048803E-004
 1.2320000E+002, 0.0000000E+000, 1.6297518E-003,-4.6168165E-002,-2.3361010E-002,-2.6886786E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5813084E-004,-3.3676728E-001, 1.6115502E-004
 1.2400000E+002, 0.0000000E+000, 1.6337106E-003,-4.7264941E-002,-2.8753230E-002,-3.3543676E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3933140E-003,-4.0982122E-001, 1.6179142E-004
 1.2480000E+002, 0.0000000E+000, 1.6096261E-003,-4.8872893E-002,-2.7198608E-002,-3.2168337E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7243108E-004,-3.9614524E-001, 1.6239971E-004
 1.2560000E+002, 0.0000000E+000, 1.6045812E-003,-4.2432515E-002,-2.4079042E-002,-3.5251854E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5562196E-004,-4.1742551E-001, 1.6298593E-004
 1.2640000E+002, 0.0000000E+000, 1.6216457E-003,-4.2891593E-002,-2.0482818E-002,-2.7588940E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0601129E-004,-3.3764216E-001, 1.6355361E-004
 1.2720000E+002, 0.0000000E+000, 1.6273292E-003,-4.4632623E-002,-1.8869212E-002,-2.3532827E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4656616E-003,-2.9720278E-001, 1.6410476E-004
 1.2800000E+002, 0.0000000E+000, 1.6275048E-003,-4.3570694E-002,-2.2407317E-002,-2.6646509E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9811613E-004,-3.3081559E-001, 1.6463968E-004
 1.2880000E+002, 0.0000000E+000, 1.6326286E-003,-4.9742742E-002,-2.2376982E-002,-2.6562714E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3027309E-004,-3.3611423E-001, 1.6515733E-004
 1.2960001E+002, 0.0000000E+000, 1.6227926E-003,-4.8053326E-002,-2.4889218E-002,-3.3128244E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0383339E-004,-4.0260219E-001, 1.6565778E-004
 1.3039999E+002, 0.0000000E+000, 1.6217177E-003,-4.2111644E-002,-2.5577171E-002,-3.2445339E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2039897E-003,-3.9052048E-001, 1.6614638E-004
 1.3120000E+002, 0.0000000E+000, 1.6090216E-003,-3.7668892E-002,-2.1497890E-002,-2.8598361E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0748746E-003,-3.4354137E-001, 1.6662737E-004
 1.3200000E+002, 0.0000000E+000, 1.6428349E-003,-4.9882168E-002,-1.7946961E-002,-2.7078260E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3597303E-003,-3.3696890E-001, 1.6709652E-004
 1.3280000E+002, 0.0000000E+000, 1.6573106E-003,-5.4895197E-002,-1.7763825E-002,-2.8709380E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1825735E-004,-3.5809551E-001, 1.6755019E-004
 1.3360001E+002, 0.0000000E+000, 1.6532696E-003,-5.8593049E-002,-1.3422898E-002,-1.8290654E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7827254E-004,-2.5326922E-001, 1.6799310E-004
 1.3439999E+002, 0.0000000E+000, 1.6275734E-003,-5.7387945E-002,-1.2113322E-002,-1.5307107E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2259362E-004,-2.2094476E-001, 1.6842771E-004
 1.3520000E+002, 0.0000000E+000, 1.6369549E-003,-5.3847776E-002,-8.7412086E-003,-1.0366017E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5429697E-004,-1.6461220E-001, 1.6885518E-004
