s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.4301219E+002, 3.1012145E+002,-1.2500170E+002,-9.6688900E+001,-8.7564503E+001, 1.2481998E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0369202E+000, 8.7882766E-001, 6.5219258E-003
 1.4400783E+002, 2.9620745E+002,-1.2062946E+002,-8.8747033E+001,-8.7002383E+001, 2.4116365E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2524892E-002,-1.4731520E-001, 6.5219258E-003
 1.4500870E+002, 2.9499305E+002,-1.2047278E+002,-8.6897779E+001,-8.6807021E+001, 2.3544579E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1654807E+000, 8.3901063E-001, 6.5219258E-003
 1.4600029E+002, 3.1064752E+002,-1.2475186E+002,-9.8659202E+001,-8.7280728E+001,-2.3515801E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9567231E-001,-6.7788674E-002, 6.5219258E-003
 1.4700525E+002, 2.9517598E+002,-1.2030069E+002,-8.8175921E+001,-8.7221448E+001, 5.6526029E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2173054E-001,-4.6554958E-001, 6.5219258E-003
 1.4800232E+002, 2.9814667E+002,-1.2170839E+002,-8.8404125E+001,-8.6261281E+001, 2.5499205E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9985716E+000, 1.7983698E+000, 6.5219258E-003
 1.4900459E+002, 2.9343958E+002,-1.1972444E+002,-8.6915264E+001,-8.7566839E+001,-8.2838895E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8036300E-001,-8.4980735E-001, 6.5219258E-003
 1.5001320E+002, 2.9722001E+002,-1.2152906E+002,-8.7100158E+001,-8.8003245E+001,-6.3811862E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5761113E-001, 5.2373563E-001, 6.5219258E-003
 1.5100267E+002, 3.0789944E+002,-1.2471533E+002,-9.5600448E+001,-8.6876201E+001,-4.5978206E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0439225E+000, 6.6148209E-001, 6.5219258E-003
 1.5200462E+002, 3.0536759E+002,-1.2363623E+002,-9.4753131E+001,-8.7310984E+001,-3.5571872E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3009678E-003,-3.6832788E-001, 6.5219258E-003
 1.5300781E+002, 2.9638645E+002,-1.2135512E+002,-8.6637757E+001,-8.7816458E+001,-1.0653073E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8613167E-001, 5.6645472E-001, 6.5219258E-003
 1.5400905E+002, 2.9519161E+002,-1.2111071E+002,-8.6102104E+001,-8.7565788E+001,-4.5824779E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8653283E-001, 3.6718696E-001, 6.5219258E-003
 1.5500351E+002, 3.0505742E+002,-1.2359337E+002,-9.5871004E+001,-8.5949315E+001,-2.4218372E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6643504E-001,-3.5869451E-001, 6.5219258E-003
 1.5601186E+002, 3.0431276E+002,-1.2381622E+002,-9.2287444E+001,-8.6775407E+001, 1.7327207E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8310516E+000, 1.4510187E+000, 6.5219258E-003
 1.5700124E+002, 2.8861727E+002,-1.1928378E+002,-8.1468407E+001,-8.8708703E+001, 4.9198839E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5911427E-001,-7.9442343E-001, 6.5219258E-003
 1.5800256E+002, 3.0476819E+002,-1.2450232E+002,-9.1543917E+001,-8.7664457E+001, 5.6726229E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3033520E+000, 1.1142164E+000, 6.5219258E-003
 1.5900385E+002, 3.0288047E+002,-1.2386204E+002,-9.1157883E+001,-8.7061177E+001,-1.1197923E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3365619E+000, 6.8738574E-001, 6.5219258E-003
 1.6000601E+002, 3.0477606E+002,-1.2431044E+002,-9.2852054E+001,-8.8061440E+001,-1.0513190E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1926629E-002,-5.5299792E-001, 6.5219258E-003
 1.6100391E+002, 3.0827259E+002,-1.2604040E+002,-9.5098645E+001,-8.7304310E+001,-6.0709428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1988798E-001,-1.7682734E-001, 6.5219258E-003
 1.6200055E+002, 2.7817846E+002,-1.1650149E+002,-7.5457784E+001,-8.6877418E+001,-1.0838420E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2956092E-001,-7.6662260E-001, 6.5219258E-003
 1.6300487E+002, 3.0887096E+002,-1.2583003E+002,-9.6599504E+001,-8.5775733E+001,-7.7049140E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5112861E-001, 5.8864379E-001, 6.5219258E-003
 1.6400125E+002, 2.8629969E+002,-1.1928059E+002,-8.0008889E+001,-8.6387211E+001,-2.6218161E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.2681682E-001, 5.9677796E-001, 6.5219258E-003
 1.6500313E+002, 3.2100112E+002,-1.2958929E+002,-1.0297107E+002,-8.8392824E+001,-9.6316117E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.1357661E-001,-4.8376635E-002, 6.5219258E-003
 1.6600706E+002, 3.0224420E+002,-1.2419781E+002,-9.0210097E+001,-8.7813235E+001, 4.6940524E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0268081E-001, 6.9995036E-002, 6.5219258E-003
 1.6700714E+002, 2.9180987E+002,-1.2128010E+002,-8.1999250E+001,-8.8022341E+001,-3.1569663E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0422944E+000, 4.7660443E-001, 6.5219258E-003
 1.6800551E+002, 3.0067684E+002,-1.2383606E+002,-8.9346378E+001,-8.7701514E+001,-3.8295767E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0214687E-001,-2.4541265E-001, 6.5219258E-003
 1.6900412E+002, 2.9691439E+002,-1.2278039E+002,-8.6177458E+001,-8.8020689E+001,-1.7205133E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1516906E-001,-8.1354460E-002, 6.5219258E-003
 1.7000073E+002, 3.0485010E+002,-1.2526376E+002,-9.1326989E+001,-8.8518486E+001,-4.0007184E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2384061E-001,-2.5954212E-001, 6.5219258E-003
 1.7100383E+002, 2.9324539E+002,-1.2204082E+002,-8.2682128E+001,-8.8360232E+001,-2.3359171E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0292193E-001, 1.3884831E-001, 6.5219258E-003
 1.7201115E+002, 2.9640709E+002,-1.2249726E+002,-8.6843625E+001,-8.6806680E+001,-3.5450709E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5204522E-001, 2.2406897E-001, 6.5219258E-003
 1.7300912E+002, 3.1127208E+002,-1.2677096E+002,-9.8278078E+001,-8.5793399E+001,-2.0086050E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.0108060E-001, 4.0956212E-001, 6.5219258E-003
 1.7400490E+002, 3.0911310E+002,-1.2691149E+002,-9.4949418E+001,-8.7135968E+001, 4.9026531E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6663294E-001, 1.6524662E-001, 6.5219258E-003
 1.7500934E+002, 3.0208481E+002,-1.2485383E+002,-9.0340541E+001,-8.6934095E+001,-1.4676671E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1023153E-001,-5.8324502E-002, 6.5219258E-003
 1.7600426E+002, 2.9546330E+002,-1.2314620E+002,-8.5523549E+001,-8.6493441E+001,-1.0961453E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2584149E-001, 1.9048558E-001, 6.5219258E-003
 1.7701196E+002, 2.9232507E+002,-1.2197397E+002,-8.3839447E+001,-8.6628935E+001,-4.4915619E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0194393E-001,-1.6220729E-001, 6.5219258E-003
 1.7800702E+002, 3.0960463E+002,-1.2760257E+002,-9.4048095E+001,-8.6951766E+001, 1.3743707E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4098542E+000, 1.0159400E+000, 6.5219258E-003
