s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.1760000E+002, 0.0000000E+000, 1.5581993E-003,-5.3622621E-002,-1.6593192E-002,-2.3092418E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7438033E-004,-2.9958179E-001, 1.5061986E-004
 1.1840000E+002, 0.0000000E+000, 1.5295338E-003,-5.6186725E-002,-1.2631816E-002,-1.6166930E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0739643E-004,-2.2895831E-001, 1.5107953E-004
 1.1920000E+002, 0.0000000E+000, 1.4743282E-003,-5.5028151E-002,-1.3106016E-002,-1.4283381E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6697100E-004,-2.0949364E-001, 1.4884236E-004
 1.2000000E+002, 0.0000000E+000, 1.4482116E-003,-5.3778344E-002,-1.0123695E-002,-8.2894368E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5430068E-004,-1.4534820E-001, 1.4757503E-004
 1.2080000E+002, 0.0000000E+000, 1.4593955E-003,-5.0316940E-002,-9.8087957E-003,-9.8642275E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.4566013E-004,-1.5730862E-001, 1.4826133E-004
 1.2160000E+002, 0.0000000E+000, 1.5060331E-003,-5.5020026E-002,-8.9964501E-003,-9.6040022E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4829896E-004,-1.5855047E-001, 1.4911485E-004
 1.2240000E+002, 0.0000000E+000, 1.5228386E-003,-5.6850494E-002,-9.6295580E-003,-1.6178718E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4763615E-003,-2.2674439E-001, 1.4999309E-004
 1.2320000E+002, 0.0000000E+000, 1.5267847E-003,-5.3116292E-002,-8.9734246E-003,-1.7092880E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2744260E-003,-2.3149173E-001, 1.5084432E-004
 1.2400000E+002, 0.0000000E+000, 1.5407523E-003,-5.0247595E-002,-1.4696706E-002,-2.4308222E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8962739E-004,-3.0648577E-001, 1.5165234E-004
 1.2480000E+002, 0.0000000E+000, 1.5540417E-003,-5.4557047E-002,-1.1198489E-002,-1.3286792E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0991683E-004,-1.9706941E-001, 1.5240870E-004
