s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 3.9501000E+002, 4.1129153E+002, 3.1876341E-002, 1.2561535E-002
 4.0001000E+002, 4.1139288E+002, 3.1986166E-002, 1.2429146E-002
 4.0501000E+002, 4.1115500E+002, 3.2161720E-002, 1.2296624E-002
 4.1001000E+002, 4.1186200E+002, 3.2361981E-002, 1.2162921E-002
 4.1501000E+002, 4.1106244E+002, 3.2353871E-002, 1.2029178E-002
 4.2001000E+002, 4.1210391E+002, 3.2628153E-002, 1.1894595E-002
 4.2501000E+002, 4.1130618E+002, 3.2524865E-002, 1.1759775E-002
 4.3001000E+002, 4.1218643E+002, 3.2774970E-002, 1.1624614E-002
 4.3501000E+002, 4.1193002E+002, 3.2683481E-002, 1.1489031E-002
 4.4001000E+002, 4.1245837E+002, 3.2828759E-002, 1.1353557E-002
 4.4501000E+002, 4.1282529E+002, 3.2734260E-002, 1.1217696E-002
 4.5001000E+002, 4.1311682E+002, 3.2713518E-002, 1.1082401E-002
 4.5501000E+002, 4.1429694E+002, 3.2570019E-002, 1.0947132E-002
 4.6001000E+002, 4.1463846E+002, 3.2238103E-002, 1.0813116E-002
 4.6501000E+002, 4.1693875E+002, 3.1922877E-002, 1.0680217E-002
 4.7001000E+002, 4.1842599E+002, 3.1034004E-002, 1.0549804E-002
 4.7501000E+002, 4.2243503E+002, 3.0175602E-002, 1.0423041E-002
 4.8001000E+002, 4.2786685E+002, 2.8341359E-002, 1.0301273E-002
 4.8501000E+002, 4.3628488E+002, 2.5903888E-002, 1.0189171E-002
 4.9001000E+002, 4.5066763E+002, 2.2181176E-002, 1.0088818E-002
 4.9501000E+002, 5.2221576E+002, 1.0577496E-002, 1.0013973E-002
 5.0001000E+002, 6.2878058E+002, 0.0000000E+000, 9.9999998E-003
 5.0501000E+002, 6.4087653E+002, 0.0000000E+000, 9.9999998E-003
 5.1001000E+002, 6.4737000E+002, 0.0000000E+000, 9.9999998E-003
 5.1501000E+002, 6.5129187E+002, 0.0000000E+000, 9.9999998E-003
 5.2001000E+002, 6.5359216E+002, 0.0000000E+000, 9.9999998E-003
 5.2501000E+002, 6.5490460E+002, 0.0000000E+000, 9.9999998E-003
 5.3001000E+002, 6.5564117E+002, 0.0000000E+000, 9.9999998E-003
 5.3501000E+002, 6.5605084E+002, 0.0000000E+000, 9.9999998E-003
 5.4001000E+002, 6.5627747E+002, 0.0000000E+000, 9.9999998E-003
 5.4501000E+002, 6.5640259E+002, 0.0000000E+000, 9.9999998E-003
 5.5001000E+002, 6.5647144E+002, 0.0000000E+000, 9.9999998E-003
 5.5501000E+002, 6.5650934E+002, 0.0000000E+000, 9.9999998E-003
 5.6001000E+002, 6.5653021E+002, 0.0000000E+000, 9.9999998E-003
 5.6501000E+002, 6.5654169E+002, 0.0000000E+000, 9.9999998E-003
 5.7001000E+002, 6.5654810E+002, 0.0000000E+000, 9.9999998E-003
 5.7501000E+002, 6.5655157E+002, 0.0000000E+000, 9.9999998E-003
 5.8001000E+002, 6.5655347E+002, 0.0000000E+000, 9.9999998E-003
 5.8501000E+002, 6.5655450E+002, 0.0000000E+000, 9.9999998E-003
 5.9001000E+002, 6.5655505E+002, 0.0000000E+000, 9.9999998E-003
 5.9501000E+002, 6.5655536E+002, 0.0000000E+000, 9.9999998E-003
 6.0001000E+002, 6.5655554E+002, 0.0000000E+000, 9.9999998E-003
 6.0501000E+002, 6.5655560E+002, 0.0000000E+000, 9.9999998E-003
 6.1001000E+002, 6.5655573E+002, 0.0000000E+000, 9.9999998E-003
 6.1501000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
 6.2001000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
 6.2501000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
 6.3001000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
 6.3501000E+002, 6.5655573E+002, 0.0000000E+000, 9.9999998E-003
 6.4001000E+002, 6.5655573E+002, 0.0000000E+000, 9.9999998E-003
 6.4501000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
 6.5001000E+002, 6.5655573E+002, 0.0000000E+000, 9.9999998E-003
 6.5501000E+002, 6.5655579E+002, 0.0000000E+000, 9.9999998E-003
